name,Total,Used,Available,Date
1,225,222,3,2020/2/10
1,288,248,40,2020/2/10
1,26,24,2,2020/2/10
1,339,299,40,2020/2/10
1,280,277,3,2020/2/10
1,803,803,0,2020/2/10
1,88,88,0,2020/2/10
1,229,145,84,2020/2/10
1,800,475,325,2020/2/10
1,148,144,4,2020/2/10
1,100,74,26,2020/2/10
1,90,92,0,2020/2/10
1,185,100,85,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,0,0,0,2020/2/10
1,684,646,38,2020/2/9
1,122,137,0,2020/2/9
1,278,292,0,2020/2/9
1,504,511,0,2020/2/9
1,420,427,0,2020/2/9
1,220,230,0,2020/2/9
1,405,453,0,2020/2/9
1,304,296,8,2020/2/9
1,319,277,42,2020/2/9
1,167,150,17,2020/2/9
1,510,515,0,2020/2/9
1,300,332,0,2020/2/9
1,650,644,6,2020/2/9
1,589,589,0,2020/2/9
1,770,750,20,2020/2/9
1,226,221,5,2020/2/9
1,265,292,0,2020/2/9
1,470,465,5,2020/2/9
1,108,108,0,2020/2/9
1,289,289,0,2020/2/9
1,411,406,5,2020/2/9
1,209,209,0,2020/2/9
1,230,230,0,2020/2/9
1,288,228,60,2020/2/9
1,26,18,8,2020/2/9
1,341,293,48,2020/2/9
1,280,275,5,2020/2/9
1,382,382,0,2020/2/9
1,85,85,0,2020/2/9
1,248,147,101,2020/2/9
1,200,190,10,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
1,0,0,0,2020/2/9
